axis,point,output,cell,golden,mvp,match,abs_diff,rel_diff,note
country_name,country_name=Borvelia,output_baseline[year=1],B12,61.289855,61.289855,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_baseline[year=2],C12,62.085941,62.085941,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_baseline[year=3],D12,62.385873,62.385873,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_baseline[year=4],E12,62.187254,62.187254,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_baseline[year=5],F12,61.487676,61.487676,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_shocked[year=1],B13,61.289855,61.289855,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_shocked[year=2],C13,63.299457,63.299457,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_shocked[year=3],D13,64.858557,64.858557,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_shocked[year=4],E13,65.956059,65.956059,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_shocked[year=5],F13,66.580592,66.580592,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_delta[year=1],B14,0.000000,0.000000,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_delta[year=2],C14,1.213516,1.213516,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_delta[year=3],D14,2.472684,2.472684,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_delta[year=4],E14,3.768804,3.768804,True,0.000e+00,0.000e+00,
country_name,country_name=Borvelia,output_delta[year=5],F14,5.092916,5.092916,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_baseline[year=1],B12,81.386473,81.386473,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_baseline[year=2],C12,82.279645,82.279645,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_baseline[year=3],D12,82.677131,82.677131,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_baseline[year=4],E12,82.576537,82.576537,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_baseline[year=5],F12,81.975458,81.975458,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_shocked[year=1],B13,81.386473,81.386473,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_shocked[year=2],C13,83.891066,83.891066,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_shocked[year=3],D13,85.957349,85.957349,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_shocked[year=4],E13,87.574525,87.574525,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_shocked[year=5],F13,88.731533,88.731533,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_delta[year=1],B14,0.000000,0.000000,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_delta[year=2],C14,1.611422,1.611422,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_delta[year=3],D14,3.280218,3.280218,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_delta[year=4],E14,4.997987,4.997987,True,0.000e+00,0.000e+00,
country_name,country_name=Litellia,output_delta[year=5],F14,6.756075,6.756075,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_baseline[year=1],B12,41.193237,41.193237,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_baseline[year=2],C12,41.892238,41.892238,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_baseline[year=3],D12,42.094616,42.094616,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_baseline[year=4],E12,41.797971,41.797971,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_baseline[year=5],F12,40.999894,40.999894,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_shocked[year=1],B13,41.193237,41.193237,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_shocked[year=2],C13,42.707848,42.707848,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_shocked[year=3],D13,43.759766,43.759766,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_shocked[year=4],E13,44.337593,44.337593,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_shocked[year=5],F13,44.429652,44.429652,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_delta[year=1],B14,0.000000,0.000000,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_delta[year=2],C14,0.815611,0.815611,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_delta[year=3],D14,1.665150,1.665150,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_delta[year=4],E14,2.539621,2.539621,True,0.000e+00,0.000e+00,
country_name,country_name=Aurelium,output_delta[year=5],F14,3.429758,3.429758,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_baseline[year=1],B12,61.289855,61.289855,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_baseline[year=2],C12,62.085941,62.085941,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_baseline[year=3],D12,62.385873,62.385873,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_baseline[year=4],E12,62.187254,62.187254,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_baseline[year=5],F12,61.487676,61.487676,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_shocked[year=1],B13,62.477833,62.477833,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_shocked[year=2],C13,64.516695,64.516695,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_shocked[year=3],D13,66.105777,66.105777,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_shocked[year=4],E13,67.233998,67.233998,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_shocked[year=5],F13,67.890007,67.890007,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_delta[year=1],B14,1.187977,1.187977,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_delta[year=2],C14,2.430754,2.430754,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_delta[year=3],D14,3.719903,3.719903,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_delta[year=4],E14,5.046743,5.046743,True,0.000e+00,0.000e+00,
shock_year,shock_year=1,output_delta[year=5],F14,6.402331,6.402331,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_baseline[year=1],B12,61.289855,61.289855,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_baseline[year=2],C12,62.085941,62.085941,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_baseline[year=3],D12,62.385873,62.385873,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_baseline[year=4],E12,62.187254,62.187254,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_baseline[year=5],F12,61.487676,61.487676,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_shocked[year=1],B13,61.289855,61.289855,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_shocked[year=2],C13,63.299457,63.299457,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_shocked[year=3],D13,64.858557,64.858557,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_shocked[year=4],E13,65.956059,65.956059,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_shocked[year=5],F13,66.580592,66.580592,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_delta[year=1],B14,0.000000,0.000000,True,0.000e+00,0.000e+00,
shock_year,shock_year=2,output_delta[year=2],C14,1.213516,1.213516,True,0.000e+00,0.000e+00,
